id,questionText,answerText,sourceUrl,language,title
10,"If multiple great cats at the Bronx Zoo were showing clinical signs, why was only one tested?","Only one tiger was tested because the collection of diagnostic samples in big cats requires general anesthesia. Since all tigers and lions were exhibiting similar clinical signs of respiratory disease, the attending veterinarian believed it was in the best interest of the animals to limit the potential risks of general anesthesia to one tiger for diagnostics.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
11,What do we know about the zoo tiger sick with COVID-19 disease?,"On April 5, the US Department of Agriculture’s National Veterinary Services Laboratories announced a positive finding of SARS-CoV-2 in samples from one tiger at the Bronx Zoo in New York City. This appears to be the first instance of a tiger being infected with COVID-19. On April 3, quantitative PCR testing for SARS-Coronavirus-2 (SARS-CoV-2) on duplicate respiratory tract samples from a four-year-old female Malayan tiger with respiratory signs that was living at the Wildlife Conservation Society’s (WCS) Bronx Zoo was performed at the Animal Health Diagnostic Center and New York State Veterinary Diagnostic Laboratory at Cornell University College of Veterinary Medicine and the University of Illinois College of Veterinary Medicine Veterinary Diagnostic Laboratory. Presumptive positive results of that testing were confirmed by the USDA National Veterinary Services Laboratory on April 4. The tiger was one of two Malayan tigers, two Amur tigers, and three African lions that developed respiratory signs over the course of a week; respiratory signs included a dry cough and, in some cases, wheezing, but no dyspnea or nasal or ocular discharge. Mild anorexia was also noted in some animals. All of the large cats are long-term residents of the zoo, do not have chronic medical conditions, and there have been no new animals introduced to the groups for several years. All other Amur and Malayan tigers, a snow leopard, cheetah, clouded leopard, Amur leopard, puma (Puma concolor), and serval at the zoo still appear healthy. The source of infection was presumed to be transmission from a zookeeper, who at the time of exposure had not yet developed symptoms of COVID-19. The zoo has been closed to the public since mid-March, and the first tiger began showing signs of being ill on March 27. All of these large cats are expected to recover. Other animals in other parts of the zoo have shown no clinical signs of disease. Enhanced biosecurity protocols have been implemented for staff caring for all nondomestic felids in the four zoos overseen by the WCS.Because infection of animals with SARS-CoV-2 meets the criteria of an emerging disease, such cases are reported to the World Organisation for Animal Health (OIE).",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
12,"I’ve heard about research reports of cats, ferrets, and dogs being infected with SARS-CoV-2 and, in some cases, spreading it to other animals of the same species. What can you tell me about those reports?","Preliminary findings from limited laboratory experimental studies indicate that, of species tested thus far, cats are the species most susceptible to infection with SARS-CoV-2. Some cats in these studies developed signs of clinical disease. Ferrets were also found to be susceptible to infection, but appeared less likely to develop disease. In the laboratory setting cats and ferrets were also able to transmit SARS-CoV-2 to other cats and ferrets, respectively. Golden Syrian hamsters were also able to be experimentally infected and were able to spread the infection to other hamsters. Dogs appeared to be susceptible to infection, but less so than cats or ferrets. Other preliminary laboratory findings indicate that poultry and pigs are not susceptible to infection with SARS-CoV-2.It is important to understand that experimentally induced infection does not mirror naturally induced infection. In other words, just because an animal can be experimentally infected via inoculation with high concentrations of purified tissue-cultured virus does not mean that it will be easily be infected with that same virus under natural conditions. The number of animals involved in these studies was also very small and conclusions were drawn based on data that, in some cases, were collected from as few as two animals. There is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19. Human outbreaks are driven by person-to-person transmission.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
13,Have any domestic species become infected with SARS-CoV-2 as a result of exposure to COVID-19 positive owners or close contacts?,"As of April 17, two commercial laboratories in the United States reported they had tested thousands of specimens from dogs and cats for SARS-CoV-2 and had obtained no positive results. These specimens have come from the United States, South Korea, Canada, and Europe, including regions concurrently experiencing human COVID-19 cases. While this is encouraging, the specimens tested were originally submitted for polymerase chain reaction (PCR) analysis of more common pathogens causing respiratory disease in dogs and cats and, as such, per-case information as to whether or not these dogs and cats had contact with confirmed COVID-19 positive people is not available.Only a few animals with a known history of exposure to people with confirmed COVID-19 have been tested. With that in mind, the only pets incidentally exposed to COVID-19 that have tested positive, with confirmation, for SARS-CoV-2 are two pet dogs and a pet cat in Hong Kong. Another pet cat in Belgium tested positive, but details around that case are less clear. In each case, the pet was in the care of and had close contact with a person who had been confirmed to have COVID-19. Only in the case of the cat in Belgium was there a suggestion of the animal showing clinical signs of disease and, in that case, other diseases and conditions that could have caused those same signs of illness were not ruled out and there are also questions about how samples demonstrating the presence of SARS-CoV-2 were collected and evaluated. That cat recovered. As of March 31, 27 dogs and 15 cats from Hong Kong households in which one or more people were sick with COVID-19 had been held in quarantine. Only the 2 dogs and 1 cat mentioned above had positive results of testing for SARS-CoV-2 and none of the animals in quarantine had developed clinical signs of respiratory disease.To date, the CDC has not received any National Veterinary Service Laboratories (NVSL)-confirmed reports of pets or other animals becoming sick with COVID-19 in the United States, and there is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
14,Why are animals being tested when many people can’t get tested?,Animals are only being tested in rare circumstances and on a case-by-case basis after consultation with public health and animal health officials to determine if testing is needed. Routine testing of animals is not being recommended at this time,https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
15,Should any animal showing signs of respiratory or gastrointestinal illness be tested?,"The AVMA, USDA, CDC, American Association of Veterinary Laboratory Diagnosticians (AAVLD), and National Association of State Public Health Veterinarians (NASPHV) do not recommend routine testing of animals for this virus. If a domestic animal becomes ill with respiratory or gastrointestinal signs, veterinarians are strongly encouraged to first test for common pathogens and conditions that are more likely to have caused such clinical signs.Discussion among key regulatory authorities and animal health experts (USDA, CDC, FDA, NASPHV, National Assembly of State Animal Health Officials [NASAHO], AVMA) indicates that testing may be justified for certain animals in the following situations:Because the situation is ever-evolving, animal and public health officials may decide to test certain animals meeting the above criteria. The decision to test will be made collaboratively between the attending veterinarian and local, state, and federal public health and animal and health officials, and your veterinarian will contact one of those officials for information about how to proceed. If samples are sent to state animal health, university, or private laboratories for initial testing, all samples should be collected by a licensed, and preferably USDA-accredited, veterinarian in duplicate because positive samples must be confirmed through additional testing by the USDA National Veterinary Services Laboratories (NVSL). Different states may also have different requirements for testing and collaborating with and reporting to public health and animal health officials.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
16,"What are the criteria for testing animals owned by, or in close contact with, people ill with COVID-19 in the United States?","If a domestic animal becomes ill with respiratory or gastrointestinal signs, veterinarians will first test for common pathogens and conditions that are more likely to have caused such clinical signs. If the results of tests for any of these common pathogens or conditions are positive, then the veterinarian will recommend treatment and care for that animal accordingly.If the results of tests for more common pathogens and conditions are negative, the veterinarian should contact a local, state, or federal public health or animal health official for information about how to proceed. Any decision to test an animal for SARS-CoV-2 will be made collaboratively with these officials and testing will generally only be done if there has been close contact between the animal and a COVID-19 positive person or if there is exposure of the animal to a high-risk environment where a human outbreak occurred, such as residence, facility (e.g., nursing home, prison), or cruise ship. Different states may also have different requirements for testing and collaborating with and reporting to public health and animal health officials.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
17,What should I do if I think my animal has the virus?,"Call your veterinarian with any questions about your animal’s health. You should tell them why you are concerned about your animal being ill (e.g., what clinical signs of illness you are seeing) and whether the animal has had close contact with someone who has been sick with COVID-19. Calling your veterinarian in advance will help your veterinarian determine whether your animal needs to be seen immediately and, if so, will support the veterinary clinic/hospital in preparing for the proper admittance of that animal, including the preparation of an isolation area as needed. Do not take the animal to a veterinary clinic/hospital until you have consulted with your veterinarian. A telemedicine consultation should be considered as an option as well.After an examination and evaluation of the animal to rule out more likely causes for the animal’s illness, veterinarians who believe an animal should be tested for SARS-CoV-2 will contact local, state, or federal public health or animal health officials, who will work with them to determine next steps.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
18,Is testing for SARS-CoV-2 available for animals in the United States?,"As of April 19, the CDC had not received any National Veterinary Service Laboratories (NVSL)-confirmed reports of pets or other domestic animals becoming sick with COVID-19 in the United States. In addition, there is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19. As such, routine testing of animals for COVID-19 is not recommended by the AVMA, CDC, USDA, American Association of Veterinary Laboratory Diagnosticians (AAVLD), or National Association of State Public Health Veterinarians (NASPHV).If an animal becomes ill with respiratory or gastrointestinal signs, veterinarians should first test for common pathogens and conditions that are more likely to have caused such clinical signs. Animal testing for SARS-CoV-2 is available if the attending veterinarian and local, state, and/or federal public health and animal health officials agree an animal merits testing. Different states may have different requirements for testing and collaborating with and reporting to public health and animal health officials.Answers to frequently asked questions about animal testing are available from USDA (state public and animal health officials and public), CDC, and AVMA (veterinarians and public).Of note is that COVID-19 is an World Organisation for Animal Health (OIE) notifiable disease and presumptive positive results of testing require confirmation by the USDA National Veterinary Services Laboratories (NVSL).",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
19,Is it safe to adopt an animal from a shelter?,"There is currently no reason to think that shelter pets in the United States might be a source of COVID-19. During this pandemic emergency, pets and people each need the support of the other and veterinarians are there to support the good health of both.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
20,"What precautions should be taken for animals that have recently been imported from outside the United States (e.g., by shelters, rescues or as personal pets)?","Animals imported into the United States will need to meet CDC and USDA requirements for entering the United States. At this time, there is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19. However, as should be done for any animal introduced into a new environment, recently imported animals should be observed daily for signs of illness. If an animal becomes ill, the animal should be examined by a veterinarian. Call your veterinarian before bringing the animal into the clinic/hospital and let them know that the animal was recently imported from another country.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
21,My pet or service animal needs to go to the veterinarian and I am ill with COVID-19—what should I do?,"If you are sick with COVID-19 or another communicable disease, you should stay at home, minimizing contact with other people, until you are well. Accordingly, if this is a non-urgent appointment for your pet or service animal consider rescheduling that appointment until your physician and/or your public health official believe you no longer present a risk of transmitting your infection to other people you may encounter during such a visit, including owners of pets or other animals and veterinary clinic staff. If you are sick with COVID-19, and you believe your pet or service animal is ill, you should seek assistance from your veterinarian to determine how to best ensure your pet or service animal can be appropriately cared for while minimizing risks of transmitting COVID-19 to other people.Don’t forget—if you have an established relationship with your veterinarian (i.e., they have seen your pet/service animal in the recent past), telemedicine can be an excellent way to connect you, your pet/service animal, and your veterinarian. It can be used to help determine the urgency with which an animal needs to be seen, whether the animal needs to be seen in-person, and can also be used to conduct rechecks of certain types of ongoing medical problems. If this is your first visit to the veterinarian, it may also be possible to conduct your appointment via telemedicine, depending on what services are needed and any discretion that is being applied by regulatory officials under the COVID-19 emergency for the practice of veterinary medicine in your state.Be sure to contact your veterinarian before heading to the veterinary clinic/hospital to see what they recommend for your situation.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
22,"If I am ill with COVID-19 are there special precautions I should take to prevent spreading disease, including when caring for my pet?","If you are sick with COVID-19 you need to be careful to avoid transmitting it to other people. Applying some common-sense measures can help prevent that from happening. Stay at home except to get medical care and call ahead before visiting your doctor. Minimize your contact with other people, including separating yourself from other members of your household who are not ill; use a different bathroom, if available; and wear a cloth face mask when you are around other people or pets and before you enter a healthcare provider’s office. Wash your hands often, especially before touching your face, and use hand sanitizer. Use a tissue if you need to cough or sneeze and dispose of that tissue in the trash. When coughing or sneezing, do so into your elbow or sleeve. The AVMA recommends you take the same common-sense approach when interacting with your pets or other animals in your home, including service animals. You should tell your physician and public health official that you have a pet or other animal in your home. As a precaution, it is recommended that people sick with COVID-19 limit contact with animals until more information is known about the virus. So, if you are ill with COVID-19, have another member of your household take care of walking, feeding, and playing with your pet. If you have a service animal or you must care for your pet, then wear a cloth face covering; don’t share food, kiss, or hug them; and wash your hands before and after any contact with your pet or service animal. You should not share dishes, drinking glasses, cups, eating utensils, towels, or bedding with other people or pets in your home. Cats belonging to owners infected with COVID-19 should also be kept indoors as much as possible. While we are recommending these as good practices, there is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
23,"Should I avoid contact with animals, including pets, if I am sick with COVID-19?","You should restrict contact with pets and other animals while you are sick with COVID-19, just like you would restrict contact with other people. Although there have not been reports of pets becoming sick with COVID-19 in the United States, it is still recommended that people sick with COVID-19 limit contact with animals until more information is known about the virus. Have another member of your household care for your animals, if possible. If you have a service animal or you must care for your animals, then wear a cloth face covering; don’t share food, kiss, or hug them; and wash your hands before and after any contact with them. You should not share dishes, drinking glasses, cups, eating utensils, towels, or bedding with other people or pets in your home. Cats should also be kept indoors as much as possible.While we are recommending these as good practices, there is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
24,What should I do if my pet or service animal becomes ill after being around someone who has been sick with COVID-19?,"Contact your veterinarian before you bring your pet or service animal to the veterinary clinic/hospital. You should tell them why you are concerned about your animal being ill (e.g., what clinical signs of illness you are seeing) and also that the animal has been exposed to someone who has been sick with COVID-19. Advance notice will help your veterinarian determine whether your animal needs to be seen immediately and, if so, will support the veterinary clinic/hospital in preparing for the proper admittance of that animal, including the preparation of an isolation area as needed. Do not take the animal to a veterinary clinic/hospital until you have consulted with your veterinarian, especially if you are personally ill with COVID-19. And, of course, a telemedicine consultation should be considered as an option as well.If your pet gets sick, it is unlikely that it is because it has COVID-19; there is most likely a different cause for its illness. There is also no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
25,My pet or service animal is not ill but has a scheduled appointment at the veterinarian and I am not ill with COVID-19—what should I do?,"If you are not ill with COVID-19 or another communicable disease (e.g., cold, flu) and your pet is not ill, call your veterinarian to discuss whether and when an in-person visit is best conducted. Given current efforts to reduce the potential for human exposure to COVID-19, including recommendations for social distancing, your veterinarian may recommend postponing non-urgent visits or procedures. If you would prefer to remain in your home and you have an established relationship with the veterinarian (i.e., they have seen your pet/service animal in the recent past), telemedicine might be an excellent way to conduct your visit, depending on what services are required. If this is your first visit to the veterinarian, it may also be possible to conduct your appointment via telemedicine, depending on what services are needed and any discretion that is being applied by regulatory officials under the COVID-19 emergency for the practice of veterinary medicine in your state. Your veterinarian can help you determine what kind of appointment might work best for you and your pet/service animal in your situation.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
26,What should I do to prepare for my pet’s care in the event I become ill?,"Identify another person in your household who is willing and able to care for your pet in your home should you contract COVID-19. Make sure you have an emergency kit prepared, with at least two weeks’ worth of your pet’s food and any needed medications. Usually we think about emergency kits like this in terms of what might be needed for an evacuation in the case of a disaster, but it’s also good to have one prepared in the case of quarantine or self-isolation when you cannot leave your home.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
27,Is it safe to walk my dog? What should I do/not do during that walk?,"Taking a walk helps support you and your dog’s good health, and can contribute to wellbeing for both of you. To observe social distancing, keep space of at least 6 feet between yourself and others who do not live in your home, do not gather in groups, and stay out of crowded areas. Dogs should be walked in the neighborhood in a way that allows for social distancing and keeps them safe. Avoid dog parks (many are currently closed) and other public places where groups of people and dogs may gather. To help maintain social distancing, do not let other people pet your dog when you are out for a walk.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
28,"Can pets’ fur, collars, leashes, and carriers serve as fomites for SARS-CoV-2?","COVID-19 appears to be primarily transmitted by contact with an infected person’s bodily secretions, such as saliva or mucus droplets in a cough or sneeze. It appears that COVID-19 can also be transmitted by touching a contaminated surface or object (i.e., a fomite) and then touching the mouth, nose, or possibly eyes, but this seems to be a secondary route. Smooth (non-porous) surfaces (e.g., countertops, doorknobs) transmit viruses better than porous materials (e.g., paper money, pet fur). Because your pet’s hair is porous, and fibrous, it is unlikely that you would contract COVID-19 by petting or playing with your pet. And, while we know that certain bacteria and fungi can be carried on fur and hair, we have no examples of where viruses have been transmitted by contact with pet hair or skin, including SARS-CoV-2. However, because pets can spread other diseases to people and people can also spread diseases to animals, it’s always a good idea to wash your hands before and after interacting with pets. There is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19. Human outbreaks are driven by person-to-person transmission.While risk of transfer of SARS-CoV-2 from collars, leashes, and carriers also appears to be limited, it’s always a good idea to keep pet collars, leashes, and carriers clean and, fortunately, the SARS-CoV-2 virus is susceptible to routine cleaning. The Environmental Protection Agency has published a list of wipes, ready-to-use, and dilutable products for use against SARS-CoV-2.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
